Chafron_OTU	GreenGenes_13_5
otu_a100	34469
otu_a1007	617196
otu_a1009	259957
otu_a101	842598
otu_a1026	260592
otu_a1035	533166
otu_a1070	154146
otu_a1071	617196
otu_a1072	343
otu_a109	1132799
otu_a1096	4478326
otu_a1107	886
otu_a1112	461312
otu_a1114	461312
otu_a1136	107234
otu_a1138	533
otu_a1144	37119
otu_a1157	688231
otu_a117	268187
otu_a1197	253497
otu_a1218	252451
otu_a1227	18486
otu_a1234	107234
otu_a1267	249915
otu_a129	617196
otu_a1314	1136152
otu_a1318	142373
otu_a1453	561472
otu_a1468	2766888
otu_a149	26139
otu_a151	1105
otu_a1528	104130
otu_a154	323489
otu_a1541	4354730
otu_a1547	104130
otu_a1548	151893
otu_a1556	153647
otu_a1566	104130
otu_a1569	842598
otu_a1589	214422
otu_a1590	214422
otu_a1596	152450
otu_a1610	216435
otu_a1621	547463
otu_a1623	4340927
otu_a1628	421535
otu_a1632	4343902
otu_a1637	4343902
otu_a1639	141956
otu_a1644	4343902
otu_a165	842598
otu_a1654	782042
otu_a169	801168
otu_a1693	1142030
otu_a17	104576
otu_a1700	56630
otu_a1714	185056
otu_a1731	4225757
otu_a176	621
otu_a177	826668
otu_a1790	187147
otu_a1812	143713
otu_a1814	141899
otu_a1816	1143839
otu_a182	251062
otu_a1820	547475
otu_a1824	369183
otu_a1827	182872
otu_a1828	143713
otu_a1830	544745
otu_a1836	806839
otu_a1837	236
otu_a1838	166260
otu_a1845	152715
otu_a1848	170721
otu_a1849	36629
otu_a1853	659087
otu_a187	347913
otu_a1875	152801
otu_a1877	806839
otu_a1889	172773
otu_a1891	165960
otu_a1897	842598
otu_a19	1135040
otu_a1904	560175
otu_a1910	16774
otu_a1921	748297
otu_a1943	544745
otu_a1945	70345
otu_a1953	182872
otu_a1960	152801
otu_a198	1074804
otu_a1983	152715
otu_a2019	154146
otu_a2021	184033
otu_a2063	51122
otu_a2081	152450
otu_a2106	682918
otu_a2133	4417511
otu_a215	101553
otu_a2171	172773
otu_a2176	159741
otu_a2209	826668
otu_a221	108784
otu_a2210	172773
otu_a2271	826668
otu_a228	109524
otu_a23	555646
otu_a230	305512
otu_a241	537188
otu_a243	862101
otu_a251	143638
otu_a258	109663
otu_a265	152450
otu_a267	766
otu_a268	633431
otu_a270	674727
otu_a2749	147658
otu_a275	630928
otu_a2751	149368
otu_a2755	104364
otu_a2760	315098
otu_a2799	323489
otu_a281	341277
otu_a2813	109663
otu_a284	204914
otu_a2872	343
otu_a291	2940299
otu_a2969	63279
otu_a2981	143380
otu_a3	362191
otu_a3014	142364
otu_a3058	77966
otu_a3071	177
otu_a3121	2508129
otu_a3195	826668
otu_a322	337415
otu_a324	337219
otu_a326	617196
otu_a327	104364
otu_a331	343
otu_a334	69934
otu_a343	110119
otu_a3432	108921
otu_a344	162930
otu_a347	461312
otu_a3537	102237
otu_a3551	720511
otu_a3555	556561
otu_a367	4334754
otu_a371	264985
otu_a372	160853
otu_a381	337415
otu_a3817	37119
otu_a399	201309
otu_a4	2300927
otu_a410	421535
otu_a422	329648
otu_a424	725478
otu_a445	2577989
otu_a49	850362
otu_a518	37119
otu_a52	367815
otu_a521	4394083
otu_a553	284878
otu_a561	205568
otu_a593	160853
otu_a601	837
otu_a610	630928
otu_a617	315098
otu_a632	820725
otu_a643	315098
otu_a651	153647
otu_a679	144807
otu_a680	560175
otu_a737	69934
otu_a769	786663
otu_a779	300096
otu_a782	1533626
otu_a789	99077
otu_a79	1142030
otu_a80	644264
otu_a800	830596
otu_a807	1132799
otu_a82	50770
otu_a821	752
otu_a832	1533629
otu_a847	725478
otu_a85	103975
otu_a857	647418
otu_a86	725478
