Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
NA.15.T0.830848	Ercolini whole grain feces, Fecal sample taken from individual NA.15	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
SKM6.640187	Cannabis Soil Microbiome, rhizosphere	QDB_1001	ENVO:00005801	rhizosphere	0.453143572161	1	0.00206932100159	ENVO:00001998	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil	ENVO:00009001	plant-associated habitat
BushDog1.284388	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, bush dog gut	QDB_0626	ID:0000000	animal microbiome	0.111874705832	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
Urial2.284403	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, transcaspian urial sheep gut	QDB_0626	ID:0000000	animal microbiome	0.0968400554937	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
PLRP12.60.589051	Pavilion Lake Research Project, 60	QDB_0809	ENVO:00000020	lake	0.249473471024	1	0.00206932100159	ENVO:00000892	ENVO:00000892	Small lake biome	ENVO:00001995	rock
F21Pinr.140773	Bacterial Community Variation in Human Body Habitats Across Space and Time, right outer ear	QDB_0449	ENVO:00002036	habitat	0.123271311558	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PCx3C.140888	Regulation of myocardial ketone body metabolism by the gut microbiota during nutrient deprivation, mouse gut	QDB_0451	ID:0000002	gut	0.0972024383605	1	0.00206932100159	ENVO:00002003	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
MD3.141707	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562556961	5	0.2001811416	ENVO:00001998	ENVO:00000107	heath	ENVO:00001998	soil
000004474.1078124	AGP Mercola Food, Lemon	QDB_2013	ENVO:00002002	food product	0.152205232678	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S76.141295	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V131, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
L.Jacarepia.AB.414874	Rio de aneiro Coastline, freshwater sediment	QDB_1039	ENVO:00000303	coast	0.18203105765	2	0.0118310790194	ENVO:00000138	ENVO:00000447	marine biome	ENVO:00000138	cove	ENVO:00002006	water
NA.02.T8.830846	Ercolini whole grain feces, Fecal sample taken from individual NA.02	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S66.141193	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V122, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
KE15.139791	Shifts in bacterial community structure associated with inputs of low molecular weight carbon compounds to soil, soil	QDB_0213	ID:0000089	chemical compound	0.0951486778777	4	0.0908687678472	ENVO:00001998	ENVO:00002988	Temperate grasslands	ENVO:00005750	grassland soil	ENVO:00001998	soil
insidemouth.T0.reswab.S3.1085318	Mouse Decomp Forensics 2011, organismal	QDB_1996			0	17	1.0	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:02000036	saliva	ENVO:00009002	mammalia-associated habitat
A1.low.16to0.2.647002	Ice Wedge Polygon, tundra	QDB_1578	ENVO:00000112	tundra	0.284048332775	0	0.000604878446618	ENVO:00000112	ENVO:00000874	Tundra biome	ENVO:00001998	soil	ENVO:00000112	tundra
S67.141255	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V123, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
DC.1016353	Chu Tibetan Plateau lake sediments, sediment	QDB_1627	ENVO:00000546	lake sediment	0.538311067504	1	0.00206932100159	ENVO:00000020	ENVO:00000020	lake	ENVO:00000892	Small lake biome	ENVO:00002007	sediment
S61.141273	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V118, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
PH17.141828	Soil bacterial and fungal communities across a pH gradient in an arable soil, soil	QDB_0094	ENVO:00005742	arable soil	0.287534885634	1	0.00206932100159	ENVO:00001998	ENVO:00001998	soil
MBS105.3.676659	Mission Bay Sediment Viromes, marine sediment from Mission Bay	QDB_1673	ENVO:00002113	marine sediment	0.38743659635	0	0.000604878446618	ENVO:00002113	ENVO:00000447	marine biome	ENVO:00000032	bay	ENVO:00002113	marine sediment
L.Jacarepia.AC.414858	Rio de aneiro Coastline, freshwater sediment	QDB_1039	ENVO:00000303	coast	0.18203105765	2	0.0118310790194	ENVO:00000138	ENVO:00000447	marine biome	ENVO:00000138	cove	ENVO:00002007	sediment
S10.141259	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V3, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Myr.tri.Seat.24.04L12.653667	Convergence of gut microbiomes in myrmecophagous mammals, gut	QDB_1056	ID:0000000	animal microbiome	0.195199263498	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
F32Kner.140397	Bacterial Community Variation in Human Body Habitats Across Space and Time, right back of knees	QDB_0449	ENVO:00002036	habitat	0.128172930366	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
SBS1.OM2C0.MIN.414814	Long Term Soil Productivity project, soil	QDB_1037	ENVO:00001998	soil	0.229311169101	0	0.000604878446618	ENVO:00001998	ENVO:00001998	soil	ENVO:00000875	Temperate coniferous forest biome	ENVO:00002257	podzol
S75.141264	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V130, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004429.1078116	AGP Mercola Food, Sour Cream	QDB_2013	ENVO:0010128	cream	0.176968266335	7	0.549325136652	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
000004487.1078099	AGP Mercola Food, Complete Probiotics	QDB_2013	ENVO:00002002	food product	0.126654724276	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
