Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
TS160.2.299131	A core gut microbiome in obese and lean twins, human gut	QDB_0077	ID:0000000	animal microbiome	0.1693548853	3	0.034209793	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat		
PH17.141828	Soil bacterial and fungal communities across a pH gradient in an arable soil, soil	QDB_0094	ENVO:00005742	arable soil	0.2875348856	1	0.002069321	ENVO:00001998	ENVO:00001998	soil				
413.14161	Succession of microbial consortia in the developing infant gut microbiome, human gut	QDB_0101	ID:0000000	animal microbiome	0.1479672879	3	0.034209793	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat		
MD3.141707	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00000107	heath	ENVO:00001998	soil		
MT1.141719	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00000111	forest
KP4.141733	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00005750	grassland soil	ENVO:00000107	heath	ENVO:00001998	soil
HJ1.141718	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00000876	Temperate broadleaf and mixed forest biome	ENVO:00002261	forest soil	ENVO:00001998	soil
LQ1.141701	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00001998	soil	ENVO:00002993	Tropical humid forests	ENVO:00005778	tropical soil
CO3.141651	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00000106	grassland	ENVO:00005750	grassland soil	ENVO:00001998	soil
CC1.141721	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00002988	Temperate grasslands	ENVO:00005750	grassland soil	ENVO:00001998	soil
HI1.141693	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00005750	grassland soil	ENVO:00001998	soil	ENVO:00000881	Tropical and subtropical grasslands, savannas, and shrubland biome
BB1.141690	Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale, soil	QDB_0103	ENVO:00000221	continental island	0.0935562557	5	0.2001811416	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002993	Tropical humid forests
DL2.139986	Soil bacterial diversity in the Arctic is not fundamentally different from that found in other biomes, soil	QDB_0104	ENVO:00000428	biome	0.1930442678	3	0.034209793	ENVO:00000112	ENVO:00002995	Tundra communities and barren Arctic deserts	ENVO:00001998	soil	ENVO:00000112	tundra
20.141775	Bangladesh groundwater sediment metagenome, groundwater sediment	QDB_0130	ENVO:00000061	underground water body	0.2629631225	3	0.034209793	ENVO:00000026	ENVO:00002045	anaerobic sediment	ENVO:00000889	Large river delta biome	ENVO:00000026	well
KE15.139791	Shifts in bacterial community structure associated with inputs of low molecular weight carbon compounds to soil, soil	QDB_0213	ID:0000089	chemical compound	0.0951486779	4	0.0908687678	ENVO:00001998	ENVO:00002988	Temperate grasslands	ENVO:00005750	grassland soil	ENVO:00001998	soil
