EnvoID	count	Cluster size	Envo Total	Supported Studies	DAG-Level Envo-Term	Precision	Recall	F	log P-value (Fisher's)	Homogeneity	Separation	Dunn-Index
ENVO:00000039	215	216	258	2	05 fjord                                             	0.995370	0.833333	0.907173	-0.000000	nan	0.254270	0.734549	0.000000
ENVO:00002003	506	618	2462	44	04 feces                                             	0.818770	0.205524	0.328571	0.000000	28.394199	0.409567	0.810373	0.000000
ENVO:02000040	133	135	346	4	03 mucus                                             	0.985185	0.384393	0.553015	-0.000000	nan	0.074931	0.799402	0.000000
ENVO:00000879	14	53	75	11	03 Tropical and subtropical moist broadleaf forest bi	0.264151	0.186667	0.218750	-0.000000	nan	0.111483	0.802976	0.000000
ENVO:00005801	200	200	444	1	02 rhizosphere                                       	1.000000	0.450450	0.621118	0.000000	25.208140	0.230115	0.659791	0.000000
ENVO:00000021	1440	1440	1614	1	03 freshwater lake                                   	1.000000	0.892193	0.943026	0.000000	27.075385	0.306429	0.696902	0.000000
ENVO:02000037	141	278	558	14	03 sebum                                             	0.507194	0.252688	0.337321	-0.000000	nan	0.271792	0.701359	0.000000
ENVO:0010006	12	34	26	4	06 fermented grape beverage                          	0.352941	0.461538	0.400000	0.000000	25.237305	0.275614	0.687599	0.000000
ENVO:00000266	22	22	29	1	04 pasture                                           	1.000000	0.758621	0.862745	0.000000	25.368785	0.108946	0.620964	0.000000
ENVO:00009001	283	348	719	11	03 plant-associated habitat                          	0.813218	0.393602	0.530459	0.000000	25.208829	0.279631	0.786198	0.000000
ENVO:00000426	200	200	206	2	03 ocean floor                                       	1.000000	0.970874	0.985222	0.000000	26.056882	0.211190	0.680040	0.000000
ENVO:00002008	120	121	149	2	01 dust                                              	0.991736	0.805369	0.888889	0.000000	24.752223	0.131692	0.638615	0.000000
ENVO:00002221	6	28	26	6	05 shop                                              	0.214286	0.230769	0.222222	0.000000	23.943408	0.079807	0.811870	0.000000
ENVO:00001998	787	833	1308	31	01 soil                                              	0.944778	0.601682	0.735170	-0.000000	nan	0.377040	0.716014	0.000000
ENVO:00005791	10	11	23	1	02 sterile water                                     	0.909091	0.434783	0.588235	-0.000000	nan	0.082151	0.716754	0.000000
ENVO:00000878	275	559	460	14	03 Mediterranean forests, woodlands, and shrub biome 	0.491950	0.597826	0.539745	0.000000	27.812144	0.303607	0.672952	0.000000
ENVO:00000247	279	279	361	1	04 volcano                                           	1.000000	0.772853	0.871875	0.000000	25.028185	0.366420	0.782453	0.000000
ENVO:00000106	64	64	132	1	03 grassland                                         	1.000000	0.484848	0.653061	-0.000000	nan	0.120744	0.675340	0.000000
ENVO:00005778	26	36	26	2	02 tropical soil                                     	0.722222	1.000000	0.838710	-0.000000	nan	0.097864	0.707637	0.000000
ENVO:00000173	84	86	100	1	04 rocky desert                                      	0.976744	0.840000	0.903226	0.000000	26.276358	0.238709	0.769151	0.000000
ENVO:0010013	3	11	14	4	06 fermented cereal beverage                         	0.272727	0.214286	0.240000	0.000000	14.954172	0.184400	0.705138	0.000000
ENVO:00000111	27	30	81	4	04 forest                                            	0.900000	0.333333	0.486486	-0.000000	nan	0.378368	0.833679	0.000000
