	M11Nstl.140810	B.2004.01.S1.405609	C.3037.01.S1.405123	FL.3.32a.3.281781	H55Kc.735962	SE.20100928.GY.NF008.BC.093.a.673660	UQ288.591065	sp0193.486346	EM086.441698	L08A095.799873	bb08145b2a3724c42967dc2dbdab5c3b	b76ecf3dd46fcab94418c68c6fcd8ada	ME10May08EB1R1.486639	mf2188.633126	920cce1ef960ffc7343eb5628636a37e	cf1170.632724	6b3f4f4e221ccf8bbfc57e52791ed288	B26.737560	H60Do.735986	10.8.12.rk.st.0800.1123130	9f400082bffeb4494d4497ef084ffe94	NA.15.T0.830848	Zambon.Leftpalm.983763	cf1126.633182	SPM1x030408.142594	ANT04.S2M1.607431	4d366f8db0835339ed3c686415599480	SPM1x040108.142616	50.col.lumen.TG.676359	CBE09Aug07.617917	HI.20.35e.2.281673	TVF.2004.Loc4.D10.Rep1.414474	1204BCDNA.486523	nest.WY.2008.3.712186.739059	E3E04.826190	sp1017.486420	WT07L.478428	SE.20101009.GY.ALTFF002.BC.225.415346	TS152.2.299097	must.18.1128116	sp1565.486407	F32Hair.140769	Calh5.385340	FL.3.26a.1.281867	TS1.2.299121	soil1.T3U1.536591	F31Forr.140586	sp0759.486364	Myr.tri.Seat.4.03H10.653706	S00305.543918	fut2negative.day56.70.Regular.1004900	TBH12Aug08.618303	PM8x30308.142380	Turkey.Stool.983766	42265f3f55dd9c4c9b4feaee53b1f4fc	CU3258.141544	75f78e4c6e0dc6e4a62f570c1bc9a339	P.Dois.Rios.SB.414865	21.ill.mucosa.WT.676371	SSBE21Aug08.618423
M11Nstl.140810	0.0	0.807829386107	0.935798449111	0.546847124394	0.486762197092	0.579788142165	0.629785735057	0.732558239095	0.823807641357	0.571784442649	0.683333333333	0.719994482759	0.614630625	0.676175555556	0.555554444444	0.770265827815	0.534678095238	0.546590714286	0.587527495961	0.926446946688	0.595782222222	0.685972843296	0.962993747981	0.726051340996	0.72005085622	0.567872810985	0.536709	0.737513085622	0.904102294023	0.458743537964	0.573145107399	0.589370129241	0.676119321486	0.649509547658	0.593592035541	0.699466930533	0.909629583333	0.564170290792	0.778817189015	0.727055767367	0.751375072698	0.421733796446	0.50652761302	0.550805440141	0.795487689822	0.610652455574	0.527503247173	0.658710840065	0.365733053312	0.646186300485	0.822328626817	0.603155961228	0.728659418417	0.671985573506	0.571795625	0.630611373183	0.754686666667	0.536556946688	0.7188673021	0.574863796446
B.2004.01.S1.405609	0.807829386107	0.0	0.582236399352	0.814481403509	0.816619129202	0.797450348319	0.862116127987	0.718392057513	0.319599789388	0.787188250304	0.864767777778	0.63305137931	0.7097325	0.70838	0.840596666667	0.464432847682	0.814243333333	0.797769642857	0.604775110544	0.547079963548	0.781467777778	0.490876233293	0.598206144188	0.44538362069	0.451738136201	0.750745070879	0.676643	0.421498929598	0.549343679487	0.856043859862	0.80864353222	0.810630850547	0.787777768327	0.713757059538	0.894287739976	0.79419090725	0.704391666667	0.808565119482	0.323542544192	0.943515872823	0.718893539895	0.938617398721	0.819360253165	0.825145721831	0.349258345865	0.776487529364	0.897301109478	0.765818059943	0.830524601053	0.708754869927	0.329278212121	0.822810287566	0.400892952208	0.707876646416	0.764885	0.790706091772	1.14774111111	0.77473146213	0.560317779238	0.850097978939
C.3037.01.S1.405123	0.935798449111	0.582236399352	0.0	0.900876942356	0.939517953651	0.89176051596	0.965432713161	0.695724764976	0.510155532937	0.865478822402	0.944934444444	0.835786896552	0.91973625	0.759142222222	0.936613055556	0.88532593819	0.972110952381	0.895882142857	0.774027517007	0.501582076957	0.842376666667	0.785446356581	0.390726612374	0.625970900383	0.645113960573	0.843941850678	0.739505	0.638143721264	0.626298602564	0.944263003602	0.899096372315	0.9100023885	0.882178856581	0.791487597289	0.978161402492	0.883737252951	0.500307083333	0.895007395059	0.661192638889	1.0297355674	0.758272630083	1.02918574627	0.937964538879	0.927134260563	0.677423596491	0.874170971797	0.993902615724	0.85495643638	0.935060887626	0.940470811655	0.504157727273	0.908504132051	0.587479437387	0.855397324005	0.878616875	0.865582373418	1.61548888889	0.872680193485	0.863219684625	0.940164409707
FL.3.32a.3.281781	0.546847124394	0.814481403509	0.900876942356	0.0	0.529473320802	0.506830914787	0.551162481203	0.680531378446	0.812785614035	0.449065927318	0.434554444444	0.747341034483	0.509925	0.753886666667	0.544573333333	0.791729227373	0.617341904762	0.446913571429	0.50384066416	0.939412744361	0.556022222222	0.716580313283	0.962868947368	0.751016360153	0.768526253133	0.54156433584	0.708867	0.772828822055	0.924226974359	0.466560213033	0.259923770883	0.341145639098	0.539968107769	0.491104987469	0.550130526316	0.60666377193	0.746935	0.490855062657	0.800495463659	0.698021403509	0.686826240602	0.668516190476	0.269757775769	0.316648274648	0.808261716792	0.346942406015	0.610366478697	0.563607067669	0.52822783208	0.698236115288	0.816167045455	0.489877130326	0.747337130326	0.727605175439	0.5403875	0.564089825949	1.05266	0.42045424812	0.762799737188	0.471797769424
H55Kc.735962	0.486762197092	0.816619129202	0.939517953651	0.529473320802	0.0	0.501034503586	0.70856617494	0.711329696245	0.819966356359	0.426818462521	0.635295555556	0.759856551724	0.67099625	0.558507777778	0.434886388889	0.810385386313	0.709417142857	0.623238928571	0.50671139881	0.938388430754	0.573376666667	0.75300707758	0.975054301083	0.730391724138	0.767823602151	0.540008119111	0.472991	0.77839658046	0.935801666667	0.553067409255	0.565168472554	0.562976134158	0.608823254113	0.62548157854	0.418966380959	0.612198528336	0.836055833333	0.504542660667	0.796093396465	0.6536721011	0.711158101533	0.698618678038	0.565342857143	0.575814454225	0.82382660401	0.575830319927	0.602516451139	0.610032521446	0.432615784176	0.613565681582	0.830826666667	0.540453708339	0.703826805808	0.5800934306	0.600045	0.579138306962	1.20461777778	0.477517856842	0.700232417871	0.487498366779
SE.20100928.GY.NF008.BC.093.a.673660	0.579788142165	0.797450348319	0.89176051596	0.506830914787	0.501034503586	0.0	0.657978865489	0.555492546673	0.809746731473	0.396227453152	0.485778888889	0.755485517241	0.588206875	0.8182	0.362120833333	0.807927660044	0.544456190476	0.463684642857	0.57717420068	0.917574721996	0.548431111111	0.743786372918	0.930311380631	0.789805651341	0.751395430108	0.379056415599	0.614314	0.753614008621	0.897218217949	0.52132280133	0.519409307876	0.506868023302	0.421037397202	0.62128416542	0.441359936983	0.465306035144	0.751330416667	0.287890634021	0.767908642677	0.700467331499	0.56180645758	0.738993294243	0.532151699819	0.548758609155	0.80087245614	0.515990983387	0.687765113887	0.459359966542	0.551207924264	0.742274328824	0.81921869697	0.451858139174	0.761570223835	0.715699627692	0.543190625	0.505756598101	1.14932555556	0.368411676421	0.755427358739	0.442906549729
UQ288.591065	0.629785735057	0.862116127987	0.965432713161	0.551162481203	0.70856617494	0.657978865489	0.0	0.80858935839	0.881459943962	0.595566965503	0.819373333333	0.79769137931	0.625509375	0.931857777778	0.71742	0.846296203091	0.748358571429	0.656522857143	0.680444528061	0.99167364664	0.715781111111	0.736879496192	1.00715912613	0.796572950192	0.824130519713	0.702809667501	0.65321	0.813396551724	0.974475474359	0.604156392352	0.568144653938	0.508390348208	0.744654894994	0.631046558432	0.733241046514	0.786655381399	0.916110833333	0.65189404857	0.825962525253	0.820785505502	0.844371595049	0.730724552239	0.545812694394	0.532156338028	0.86564254386	0.498879198151	0.717286230713	0.748426709976	0.667121225971	0.733628720083	0.884164818182	0.665196761838	0.817997102238	0.829997160382	0.6819	0.708841344937	1.34180888889	0.599174072649	0.816622247043	0.67199128607
sp0193.486346	0.732558239095	0.718392057513	0.695724764976	0.680531378446	0.711329696245	0.555492546673	0.80858935839	0.0	0.688537511436	0.598834237649	0.790104444444	0.914507931034	0.624316875	0.757833333333	0.766363888889	0.923133554084	0.740676666667	0.630408928571	0.671834051871	0.718511638493	0.819946666667	0.83062822663	0.742362775338	0.769234578544	0.768618870968	0.471848020104	0.75152	0.761837068966	0.738337269231	0.712903458022	0.688434200477	0.670588320035	0.460105530583	0.554092315929	0.757053884244	0.39373377577	0.641965	0.620097798682	0.782674267677	0.853114453232	0.214408026313	0.8778408742	0.716546075949	0.724879295775	0.807148609023	0.627918529609	0.802715503306	0.317925209243	0.751482357066	0.893841893861	0.688635909091	0.683402561867	0.763952661827	0.80356487566	0.64364375	0.64955556962	1.35346	0.618082747543	0.871978935611	0.674366851472
EM086.441698	0.823807641357	0.319599789388	0.510155532937	0.812785614035	0.819966356359	0.809746731473	0.881459943962	0.688537511436	0.0	0.786405451448	0.910476666667	0.69663862069	0.7595875	0.571966666667	0.850910833333	0.582356909492	0.918276666667	0.797523214286	0.618365722789	0.395405116651	0.91253	0.531559760979	0.487101459286	0.385558965517	0.41808546595	0.756794556267	0.666572	0.42140253592	0.4510095	0.861168625658	0.822770477327	0.828069096523	0.80067191903	0.707271100183	0.90160304323	0.799055193275	0.670884583333	0.813535977813	0.441675056818	0.94699920564	0.696914774703	0.959810469083	0.859405822785	0.842104137324	0.49136197995	0.78004021043	0.907450007348	0.764305948079	0.831779137694	0.735444828304	0.283939212121	0.832377383349	0.42772353902	0.696982719579	0.775770625	0.786948291139	1.29578444444	0.780789573422	0.573435637319	0.852793385178
L08A095.799873	0.571784442649	0.787188250304	0.865478822402	0.449065927318	0.426818462521	0.396227453152	0.595566965503	0.598834237649	0.786405451448	0.0	0.571933333333	0.755534482759	0.58390375	0.656126666667	0.309564444444	0.806063421634	0.559831428571	0.4189225	0.49459807398	0.895394699744	0.387633333333	0.706666897359	0.904746752555	0.713711877395	0.738287804659	0.46826435477	0.609774	0.742522428161	0.899657884615	0.493486868939	0.489232625298	0.458855532368	0.493367979131	0.471769335605	0.431473096252	0.505557114566	0.846118333333	0.416990491908	0.754484652778	0.710068593535	0.626412751278	0.720724861407	0.495109963834	0.502190651408	0.777967343358	0.355501045571	0.638007648788	0.485630163969	0.55056705707	0.736443694069	0.805826742424	0.445436269165	0.720736249244	0.670192555366	0.485823125	0.457635759494	1.07613	0.40235282368	0.771379093298	0.418268864991
