	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.767754	0.682528	0.628253	0.686143	0.765541	0.57509	0.558636	0.757067	0.601071	0.613378	0.718252	0.860253	0.697338	0.601145	0.913431	0.841461	0.956191	0.725995	0.464276	0.63537	0.804344	0.657589	0.565182	0.712985	0.866043	0.567126	0.742759	0.858538	0.741911	0.81683	0.816984	0.709869	0.817831	0.725547	0.610612	0.769515	0.462634	0.324514	0.815734	0.503167	0.616225	0.772948	0.530717	0.655506	0.907962	0.883178	0.718224	0.71807	0.543535	0.786655	0.653361	0.591626	1.163422	0.800074	0.659083	0.6534	0.628307	0.629079	0.916519
sp1565.486407	0.767754	0.0	0.4581	0.594511	0.779605	0.380971	0.566552	0.89339	0.403399	0.632367	0.597834	0.506914	0.811815	0.765682	0.763783	0.768919	0.773827	0.803989	0.769187	0.711982	0.7549	0.810162	0.713883	0.642516	0.744397	0.725271	0.730298	0.880985	0.864042	0.674277	0.676058	0.822488	0.931333	0.942013	0.949531	0.81784	0.920091	0.722424	0.818912	0.89209	0.659995	0.761381	0.925642	0.748145	0.67939	0.813054	0.74012	0.774898	0.791804	0.670299	0.756165	0.764449	0.683296	1.228966	0.947282	0.699921	0.711694	0.645203	0.781773	0.765149
sp0193.486346	0.682528	0.4581	0.0	0.600595	0.751237	0.580341	0.5575	0.766338	0.459951	0.547375	0.61689	0.49408	0.848611	0.789582	0.681771	0.884947	0.819003	0.924589	0.704127	0.660258	0.648282	0.83049	0.718817	0.644508	0.685709	0.841299	0.606246	0.859881	0.838366	0.719453	0.792086	0.796812	0.793891	0.920909	0.818963	0.710418	0.893575	0.591408	0.752248	0.866414	0.608593	0.674493	0.899966	0.576265	0.632718	0.920702	0.856148	0.693076	0.799864	0.646297	0.753491	0.761137	0.593392	1.246748	0.921606	0.730425	0.528826	0.587107	0.756097	0.885749
SE.20100928.GY.NF008.BC.093.a.673660	0.628253	0.594511	0.600595	0.0	0.452264	0.711408	0.495563	0.686979	0.643886	0.622222	0.378761	0.517443	0.90028	0.543825	0.53437	0.936616	0.870672	0.976258	0.846184	0.628091	0.470117	0.765303	0.540188	0.507485	0.699538	0.892968	0.639949	0.69642	0.890035	0.771122	0.843755	0.848481	0.724922	0.747512	0.74312	0.611429	0.80354	0.492929	0.581003	0.847231	0.585188	0.53313	0.739079	0.55167	0.594403	0.972371	0.907817	0.790967	0.531441	0.45542	0.782158	0.529214	0.425305	1.040417	0.831571	0.378392	0.505053	0.740918	0.59521	0.937418
E3E04.826190	0.686143	0.779605	0.751237	0.452264	0.0	0.756298	0.485411	0.727047	0.732592	0.696858	0.524291	0.704919	0.971188	0.555517	0.439812	1.007524	0.94158	1.04488	0.881822	0.701559	0.543349	0.743301	0.60881	0.594553	0.810142	0.963876	0.668035	0.78072	0.960943	0.84203	0.914663	0.919389	0.759532	0.811964	0.78143	0.654021	0.874448	0.570935	0.692041	0.918139	0.696632	0.57144	0.809987	0.628632	0.620503	1.043279	0.978725	0.815653	0.544775	0.532752	0.749904	0.551166	0.501811	1.104869	0.902479	0.30854	0.655695	0.78351	0.666118	1.00604
sp1017.486420	0.765541	0.380971	0.580341	0.711408	0.756298	0.0	0.552135	0.871329	0.355436	0.606066	0.679529	0.656105	0.789754	0.760191	0.756752	0.68637	0.751766	0.72144	0.747126	0.703325	0.782393	0.764369	0.644554	0.649721	0.780946	0.70321	0.642767	0.824674	0.841981	0.652216	0.653997	0.800427	0.909272	0.865854	0.869202	0.795779	0.89803	0.758973	0.816699	0.870029	0.689842	0.746692	0.903581	0.772108	0.617975	0.730505	0.657571	0.752837	0.788657	0.65758	0.710372	0.727568	0.742097	1.210859	0.925221	0.700346	0.836331	0.58995	0.759712	0.6826
ANT04.S2M1.607431	0.57509	0.566552	0.5575	0.495563	0.485411	0.552135	0.0	0.71925	0.513731	0.561419	0.533836	0.509368	0.805709	0.592952	0.538349	0.852861	0.786917	0.892503	0.671689	0.517188	0.559796	0.63609	0.550795	0.509562	0.655479	0.809213	0.540242	0.772621	0.80628	0.687367	0.76	0.764726	0.760877	0.813801	0.779075	0.647384	0.790637	0.580122	0.628646	0.763476	0.519801	0.526349	0.797028	0.616341	0.464312	0.81987	0.824062	0.683674	0.612474	0.516441	0.632501	0.549395	0.544748	1.106706	0.818668	0.507377	0.65748	0.558377	0.653159	0.853663
UQ288.591065	0.558636	0.89339	0.766338	0.686979	0.727047	0.871329	0.71925	0.0	0.878175	0.727517	0.677992	0.84472	0.935507	0.772484	0.663605	1.008509	0.909583	1.024313	0.754667	0.625328	0.65216	0.910132	0.724599	0.664672	0.842713	0.934165	0.655886	0.805055	0.92666	0.810033	0.884952	0.885106	0.605261	0.828927	0.618175	0.535434	0.833065	0.587808	0.518316	0.88157	0.697475	0.556141	0.768846	0.501001	0.762608	1.014456	0.9513	0.786828	0.759324	0.567217	0.892443	0.679725	0.65979	1.203844	0.863624	0.700337	0.613996	0.668223	0.624977	1.011597
sp0759.486364	0.757067	0.403399	0.459951	0.643886	0.732592	0.355436	0.513731	0.878175	0.0	0.626498	0.634797	0.564591	0.7966	0.735189	0.730094	0.753704	0.758612	0.788774	0.753972	0.695581	0.727831	0.794947	0.684086	0.607821	0.752372	0.710056	0.713241	0.870298	0.848827	0.659062	0.660843	0.807273	0.916118	0.926798	0.934316	0.802625	0.904876	0.731585	0.808225	0.876875	0.66797	0.724326	0.910427	0.750288	0.649593	0.797839	0.724905	0.759683	0.762007	0.655084	0.74095	0.73281	0.687535	1.217775	0.932067	0.652908	0.808943	0.629988	0.766558	0.749934
nest.WY.2008.3.712186.739059	0.601071	0.632367	0.547375	0.622222	0.696858	0.606066	0.561419	0.727517	0.626498	0.0	0.603311	0.604479	0.76862	0.689737	0.632836	0.78057	0.739012	0.85885	0.697536	0.468125	0.568379	0.738505	0.574046	0.555305	0.55301	0.761308	0.491545	0.73285	0.758375	0.629412	0.712095	0.706771	0.752566	0.78935	0.75546	0.652925	0.792856	0.553341	0.674747	0.766009	0.468756	0.618938	0.783711	0.56754	0.549229	0.840711	0.776157	0.622345	0.690897	0.56525	0.67187	0.667822	0.571725	1.162935	0.820887	0.63191	0.636621	0.57333	0.621338	0.795624
SE.20101009.GY.ALTFF002.BC.225.415346	0.613378	0.597834	0.61689	0.378761	0.524291	0.679529	0.533836	0.677992	0.634797	0.603311	0.0	0.527912	0.879825	0.538564	0.531315	0.907781	0.841837	0.942851	0.837197	0.61756	0.499866	0.741086	0.483557	0.42348	0.666359	0.864133	0.649832	0.654499	0.8612	0.742287	0.81492	0.819646	0.715935	0.705765	0.734133	0.602442	0.775545	0.484384	0.59917	0.818396	0.524167	0.532095	0.710244	0.538339	0.60237	0.951916	0.878982	0.772056	0.523258	0.330797	0.753323	0.536009	0.41519	0.994646	0.802736	0.437851	0.525486	0.731931	0.566375	0.904011
1204BCDNA.486523	0.718252	0.506914	0.49408	0.517443	0.704919	0.656105	0.509368	0.84472	0.564591	0.604479	0.527912	0.0	0.904849	0.717648	0.723533	0.907521	0.866861	0.967875	0.862221	0.637726	0.64632	0.769912	0.621285	0.595446	0.645239	0.889157	0.692202	0.819805	0.886224	0.767311	0.839944	0.84467	0.882663	0.880833	0.900861	0.75144	0.871421	0.568828	0.770242	0.84342	0.570721	0.719969	0.876972	0.668835	0.597278	0.97694	0.904006	0.79708	0.682922	0.608117	0.778347	0.707995	0.55889	1.16772	0.898612	0.599951	0.454764	0.737567	0.733103	0.903751
Zambon.Leftpalm.983763	0.860253	0.811815	0.848611	0.90028	0.971188	0.789754	0.805709	0.935507	0.7966	0.76862	0.879825	0.904849	0.0	0.903057	0.87547	0.635798	0.400538	0.755536	0.554086	0.814111	0.941941	0.666005	0.883912	0.827631	0.663952	0.439742	0.781351	0.996952	0.401907	0.395398	0.383159	0.459983	0.82815	1.03076	0.999502	0.915889	0.571772	0.901653	0.885287	0.545595	0.80904	0.890366	0.695277	0.881052	0.865045	0.699327	0.538283	0.526609	0.961157	0.795582	0.518418	0.8507	0.903931	1.405677	0.616411	0.90217	0.976725	0.723044	0.764694	0.865974
H55Kc.735962	0.697338	0.765682	0.789582	0.543825	0.555517	0.760191	0.592952	0.772484	0.735189	0.689737	0.538564	0.717648	0.903057	0.0	0.512897	0.958147	0.865069	1.048773	0.903185	0.681808	0.635648	0.650516	0.633109	0.59369	0.732815	0.887365	0.670766	0.752169	0.884432	0.695063	0.838152	0.824048	0.579807	0.832537	0.828625	0.690992	0.798777	0.605952	0.683962	0.822798	0.664499	0.577289	0.62943	0.641935	0.715776	1.022476	0.918752	0.725924	0.661804	0.553965	0.630913	0.487325	0.564878	1.125442	0.825968	0.526979	0.695068	0.828709	0.539357	1.003991
Myr.tri.Seat.4.03H10.653706	0.601145	0.763783	0.681771	0.53437	0.439812	0.756752	0.538349	0.663605	0.730094	0.632836	0.531315	0.723533	0.87547	0.512897	0.0	0.92024	0.837562	1.04127	0.756856	0.622299	0.537759	0.627483	0.630708	0.580539	0.682586	0.87188	0.545271	0.759898	0.865225	0.729934	0.818945	0.813621	0.59752	0.825034	0.718782	0.593103	0.77873	0.500861	0.619947	0.812371	0.638194	0.43096	0.694169	0.513014	0.663045	0.970247	0.852351	0.704811	0.660243	0.531658	0.660252	0.519204	0.533799	1.119971	0.806761	0.567576	0.591167	0.724878	0.548976	1.00243
