Green_genes11	Green_genes_13_5
100094	40546
100095	100095
100171	729833
100174	156886
100411	100411
100442	2546331
100639	4363665
100649	116756
100771	100771
100850	100850
100854	822544
100858	4327604
100967	584096
100969	310060
101101	101263
101106	1123167
101225	727220
101323	1134197
101326	101326
101427	331303
101503	578490
101617	101617
101619	2998997
101692	101692
101714	561804
101810	3319463
101892	569669
101899	74122
101911	101911
101913	1137031
10196	10196
101990	101990
101991	101991
102136	102136
102155	62521
102159	102159
102220	102220
102221	102221
102222	102222
102513	102513
102531	102531
102533	102533
102538	100567
102548	106522
102653	102653
102748	102748
102843	102843
102932	102932
103072	103072
103074	103074
103076	103076
103088	838358
103210	103210
103325	8315
103361	541167
103364	103364
103366	103366
103369	99158
103407	772384
103421	107797
10343	542725
103556	104905
103618	3512738
103643	4428924
103696	99204
103902	833022
104041	4377968
104043	625159
104045	104045
104126	104126
104129	104129
104153	4414549
104249	745465
104283	770430
104287	104287
104445	4411489
104446	104446
104573	13988
104647	4349595
10470	831352
10473	590426
104740	104740
104741	109236
104742	104742
104744	4302913
104747	104747
10476	559451
104820	104820
104828	231129
10485	10485
1050	1050
105121	2848861
105129	105129
105215	105215
105218	105218
105296	722264
105304	163836
105358	105358
105627	560495
105695	106472
105696	4418266
105697	1129895
105699	105699
105711	237794
105875	99539
105877	623749
105901	162169
105908	105908
106042	239337
106146	811257
106147	106472
106166	4449198
106252	106252
106258	106258
106259	1118221
106356	106356
106573	137635
106732	106732
106773	106773
106778	106778
106860	106860
106942	104132
107032	3456231
107036	107036
107061	4350013
107222	102929
10730	10732
107308	107308
10733	10708
107382	4306816
107387	614504
107402	107402
107560	73538
107804	105096
108001	4477254
108003	108003
108006	4322107
108008	108008
108137	851961
108432	108432
108434	3907
108436	130036
108446	108446
10870	594041
10876	3608497
108765	590679
108986	108986
109062	4328983
109068	109066
109069	4450229
109263	109263
109265	109265
10933	802887
10934	10934
10935	10941
10938	10938
10939	533922
109496	109496
109654	841979
109765	271922
109953	109953
110046	110046
110054	921110
110059	110059
110080	571850
110083	336338
110168	820272
110229	1122480
110291	110291
110292	110457
110294	110030
110311	110311
110317	110317
110391	110391
110481	1120222
110565	110565
110646	1130828
110824	110824
110825	753638
111019	111019
111093	111093
111094	111244
111095	4463870
111099	978113
111195	4352219
11120	11120
11124	290615
111250	208802
11127	11127
11128	11128
111333	665536
111355	540190
111446	111446
111650	111650
111652	142364
111655	661430
111659	111659
111684	111684
111766	1123527
111945	557938
112070	112070
112078	4419561
112105	112105
112227	111671
112316	112316
112742	565577
112848	112848
112889	112889
11293	4370726
112960	112960
112964	112964
11297	590735
11298	715913
113023	1135012
113232	113232
113234	113234
113235	113235
113253	113253
113257	755077
